num_ligne;Année;Code académie;Nom académie;Discipline;IPS moyen;Caractéristique;Score moyen;Ecart type;groupe 1;groupe 2;groupe 3;groupe 4;groupe 5;groupe 6
1069;2024;27;CORSE;Français;110.6;Ensemble;262.7;41.7;4.7;12.6;22.4;25.3;17.7;17.4
1071;2024;27;CORSE;Français;110.6;Garçon;256.7;42.0;6.8;16.0;22.8;24.5;15.4;14.4
1072;2024;27;CORSE;Mathématiques;110.6;Ensemble;248.5;46.6;14.0;18.8;21.2;20.2;12.8;12.9
1081;2024;31;MARTINIQUE;Français;111.6;Ensemble;254.6;40.8;7.4;15.4;25.1;23.0;16.5;12.6
1082;2024;31;MARTINIQUE;Français;111.6;Fille;259.5;40.7;5.9;12.8;25.0;22.6;18.8;15.0
1104;2024;43;MAYOTTE;Mathématiques;74.4;Garçon;185.8;38.5;72.6;14.3;7.0;3.2;1.6;1.2
1105;2024;70;NORMANDIE;Français;114.7;Ensemble;264.9;42.4;4.3;12.1;22.2;24.2;18.1;19.2
1110;2024;70;NORMANDIE;Mathématiques;114.7;Garçon;267.5;51.0;7.7;12.3;18.5;20.3;16.8;24.5
1111;2024;;NATIONAL;Français;116.8;Ensemble;268.1;44.8;4.7;11.0;20.3;23.1;18.7;22.2
1114;2024;;NATIONAL;Mathématiques;116.8;Ensemble;261.5;52.7;10.7;14.5;18.9;18.9;15.0;21.8
3;2019;01;PARIS;Français;129.4;Garçon;275.3;52.6;6.8;8.6;14.9;19.1;18.2;32.4
4;2019;01;PARIS;Mathématiques;129.4;Ensemble;280.1;55.3;5.2;8.9;15.2;19.4;18.3;32.9
14;2019;03;BESANCON;Français;113.1;Fille;270.8;42.0;3.5;9.1;19.3;23.7;20.4;23.9
18;2019;03;BESANCON;Mathématiques;113.1;Garçon;276.4;45.4;2.4;7.7;18.7;24.2;19.8;27.2
21;2019;04;BORDEAUX;Français;118.0;Garçon;264.4;42.8;5.7;10.7;20.6;23.8;18.8;20.3
23;2019;04;BORDEAUX;Mathématiques;118.0;Fille;263.8;42.8;4.5;11.9;23.0;24.7;17.6;18.4
27;2019;06;CLERMONT-FERRAND;Français;114.6;Garçon;265.6;42.4;5.0;9.2;21.3;25.2;19.2;20.1
28;2019;06;CLERMONT-FERRAND;Mathématiques;114.6;Ensemble;270.8;43.5;3.2;8.8;19.9;25.4;19.7;23.0
30;2019;06;CLERMONT-FERRAND;Mathématiques;114.6;Garçon;276.4;44.8;2.4;7.0;17.9;24.4;21.5;26.9
39;2019;08;GRENOBLE;Français;118.5;Garçon;262.9;43.7;6.1;11.2;21.8;23.1;18.2;19.7
41;2019;08;GRENOBLE;Mathématiques;118.5;Fille;265.2;43.8;4.4;12.0;22.5;24.0;17.6;19.6
45;2019;09;LILLE;Français;108.4;Garçon;254.2;41.9;7.7;15.5;24.9;22.8;15.3;13.9
49;2019;10;LYON;Français;117.7;Ensemble;267.7;46.0;6.0;10.5;19.0;21.8;18.8;23.9
60;2019;11;MONTPELLIER;Mathématiques;112.2;Garçon;265.4;45.4;4.4;11.8;22.3;23.7;17.7;20.1
